1961	3
777	1	0
1200	2	0
1201	0	932
777	0	933
777	1	0
1204	2	0
1205	0	934
777	0	935
777	1	0
1208	2	0
1209	0	936
777	0	937
777	1	0
1212	2	0
1213	0	938
777	0	939
777	1	0
1216	2	0
1217	0	940
777	0	941
777	1	0
1220	2	0
1221	0	942
777	0	943
777	1	0
1224	2	0
1225	0	944
777	0	945
777	1	0
1228	2	0
1229	0	946
777	0	947
777	1	0
1232	2	0
1233	0	948
777	0	949
777	1	0
1236	2	0
1237	0	950
777	0	951
777	1	0
1240	2	0
1241	0	952
777	0	953
777	1	0
1244	2	0
1245	0	954
777	0	955
777	1	0
1248	2	0
1249	0	956
777	0	957
777	1	0
1252	2	0
1253	0	958
777	0	959
777	1	0
1256	2	0
1257	0	960
777	0	961
777	1	0
1260	2	0
1261	0	962
777	0	963
777	1	0
1264	2	0
1265	0	964
777	0	965
777	1	0
1268	2	0
1269	0	966
777	0	967
777	1	0
1272	2	0
1273	0	968
777	0	969
777	1	0
1276	2	0
1277	0	970
777	0	971
777	1	0
1280	2	0
1281	0	972
777	0	973
777	1	0
1284	2	0
1285	0	974
777	0	975
777	1	0
1288	2	0
1289	0	976
777	0	977
777	1	0
1292	2	0
1293	0	978
777	0	979
777	1	0
1296	2	0
1297	0	980
777	0	981
777	1	0
1300	2	0
1301	0	982
777	0	983
777	1	0
1304	2	0
1305	0	984
777	0	985
777	1	0
1308	2	0
1309	0	986
777	0	987
777	1	0
1312	2	0
1313	0	988
777	0	989
777	1	0
1316	2	0
1317	0	990
777	0	991
777	1	0
1320	2	0
1321	0	992
777	0	993
777	1	0
1324	2	0
1325	0	994
777	0	995
777	1	0
1328	2	0
1329	0	996
777	0	997
777	1	0
1332	2	0
1333	0	998
777	0	999
777	1	0
1336	2	0
1337	0	1000
777	0	1001
777	1	0
1340	2	0
1341	0	1002
777	0	1003
777	1	0
1344	2	0
1345	0	1004
777	0	1005
777	1	0
1348	2	0
1349	0	1006
777	0	1007
777	1	0
1352	2	0
1353	0	1008
777	0	1009
777	1	0
1356	2	0
1357	0	1010
777	0	1011
777	1	0
1360	2	0
1361	0	1012
777	0	1013
777	1	0
1364	2	0
1365	0	1014
777	0	1015
777	1	0
1368	2	0
1369	0	1016
777	0	1017
777	1	0
1372	2	0
1373	0	1018
777	0	1019
777	1	0
1376	2	0
1377	0	1020
777	0	1021
777	1	0
1380	2	0
1381	0	1022
777	0	1023
777	1	0
1384	2	0
1385	0	1024
777	0	1025
777	1	0
1388	2	0
1389	0	1026
777	0	1027
777	1	0
1392	2	0
1393	0	1028
777	0	1029
777	1	0
1396	2	0
1397	0	1030
777	0	1031
777	1	0
1400	2	0
1401	0	1032
777	0	1033
777	1	0
1404	2	0
1405	0	1034
777	0	1035
777	1	0
1408	2	0
1409	0	1036
777	0	1037
777	1	0
1412	2	0
1413	0	1038
777	0	1039
777	1	0
1416	2	0
1417	0	1040
777	0	1041
777	1	0
1420	2	0
1421	0	1042
777	0	1043
777	1	0
1424	2	0
1425	0	1044
777	0	1045
777	1	0
1428	2	0
1429	0	1046
777	0	1047
777	1	0
1432	2	0
1433	0	1048
777	0	1049
777	1	0
1436	2	0
1437	0	1050
777	0	1051
777	1	0
1440	2	0
1441	0	1052
777	0	1053
777	1	0
1444	2	0
1445	0	1054
777	0	1055
777	1	0
1448	2	0
1449	0	1056
777	0	1057
777	1	0
1452	2	0
1453	0	1058
777	0	1059
777	1	0
1456	2	0
1457	0	1060
777	0	1061
777	1	0
1460	2	0
1461	0	1062
777	0	1063
777	1	0
1464	2	0
1465	0	1064
777	0	1065
777	1	0
1468	2	0
1469	0	1066
777	0	1067
777	1	0
1472	2	0
1473	0	1068
777	0	1069
777	1	0
1476	2	0
1477	0	1070
777	0	1071
777	1	0
1480	2	0
1481	0	1072
777	0	1073
777	1	0
1484	2	0
1485	0	1074
777	0	1075
777	1	0
1488	2	0
1489	0	1076
777	0	1077
1489	0	1078
777	0	1079
777	1	0
1494	2	0
1495	0	1080
777	0	1081
777	1	0
1498	2	0
1499	0	1082
777	0	1083
777	1	0
1502	2	0
1503	0	1084
777	0	1085
777	1	0
1506	2	0
1507	0	1086
777	0	1087
777	1	0
1510	2	0
1511	0	1088
777	0	1089
777	1	0
1514	2	0
1515	0	1090
777	0	1091
777	1	0
1518	2	0
1519	0	1092
777	0	1093
777	1	0
1522	2	0
1523	0	1094
777	0	1095
777	1	0
1526	2	0
1527	0	1096
777	0	1097
777	1	0
1530	2	0
1531	0	1098
777	0	1099
777	1	0
1534	2	0
1535	0	1100
777	0	1101
777	1	0
1538	2	0
1539	0	1102
777	0	1103
777	1	0
1542	2	0
1543	0	1104
777	0	1105
777	1	0
1546	2	0
1547	0	1106
777	0	1107
777	1	0
1550	2	0
1551	0	1108
777	0	1109
777	1	0
1554	2	0
1555	0	1110
777	0	1111
777	1	0
1558	2	0
1559	0	1112
777	0	1113
777	1	0
1562	2	0
1563	0	1114
777	0	1115
777	1	0
1566	2	0
1567	0	1116
777	0	1117
777	1	0
1570	2	0
1571	0	1118
777	0	1119
777	1	0
